"gene","sample","expression"
"Aox4","GSM2545345",3
"Aox2","GSM2545345",2
"Bzw1","GSM2545345",7897
"Clk1","GSM2545345",8348
"Ppil3","GSM2545345",335
"Nif3l1","GSM2545345",684
"Cflar","GSM2545345",1382
"Casp8","GSM2545345",111
"Stradb","GSM2545345",974
"Tmem237","GSM2545345",982
"Cdk15","GSM2545345",4
"Fzd7","GSM2545345",2227
"Sumo1","GSM2545345",3065
"Fam117b","GSM2545345",4198
"Wdr12","GSM2545345",1054
"Nbeal1","GSM2545345",1245
"Abi2","GSM2545345",4288
"Cd28","GSM2545345",60
"Gm11581","GSM2545345",2
"Icos","GSM2545345",3
"Nrp2","GSM2545345",422
"Gm4208","GSM2545345",1
"Ndufs1","GSM2545345",6986
"Eef1b2","GSM2545345",3494
"Gpr1","GSM2545345",2
"Gm11605","GSM2545345",6
"Adam23","GSM2545345",6837
"Dytn","GSM2545345",4
"Mdh1b","GSM2545345",15
"Gm13748","GSM2545345",7
"Ccnyl1","GSM2545345",446
"Plekhm3","GSM2545345",1830
"Rpl10a-ps1","GSM2545345",26
"Cryga","GSM2545345",0
"Pikfyve","GSM2545345",2517
"Map2","GSM2545345",20808
"Unc80","GSM2545345",17426
"Kansl1l","GSM2545345",1282
"Acadl","GSM2545345",2054
"Gm15793","GSM2545345",2
"Spag16","GSM2545345",113
"Bard1","GSM2545345",17
"Abca12","GSM2545345",2
"Atic","GSM2545345",898
"Fn1","GSM2545345",3349
"Gm5256","GSM2545345",2
"Tmem169","GSM2545345",535
"Xrcc5","GSM2545345",688
"Smarcal1","GSM2545345",2726
"Igfbp2","GSM2545345",3046
"Gm29183","GSM2545345",3
"Rufy4","GSM2545345",3
"Cxcr2","GSM2545345",3
"Arpc2","GSM2545345",4070
"Aamp","GSM2545345",4701
"Tmbim1","GSM2545345",1907
"Catip","GSM2545345",60
"Zfp142","GSM2545345",1597
"Rnf25","GSM2545345",1321
"Ttll4","GSM2545345",1882
"Prkag3","GSM2545345",14
"Gm29539","GSM2545345",2
"Wnt10a","GSM2545345",6
"Ihh","GSM2545345",11
"Slc23a3","GSM2545345",4
"Zfand2b","GSM2545345",361
"Ankzf1","GSM2545345",1009
"Glb1l","GSM2545345",372
"Ptprn","GSM2545345",4126
"Des","GSM2545345",78
"Asic4","GSM2545345",17
"Chpf","GSM2545345",2187
"Obsl1","GSM2545345",662
"Stk11ip","GSM2545345",980
"Slc4a3","GSM2545345",3213
"Epha4","GSM2545345",1087
"Pax3","GSM2545345",274
"Mogat1","GSM2545345",11
"Kcne4","GSM2545345",55
"Gm5830","GSM2545345",11
"Scg2","GSM2545345",5880
"Mrpl44","GSM2545345",793
"Gm5529","GSM2545345",21
"Fam124b","GSM2545345",2
"Cul3","GSM2545345",7768
"Nyap2","GSM2545345",1079
"Rhbdd1","GSM2545345",568
"Col4a4","GSM2545345",111
"Col4a3","GSM2545345",94
"Mff","GSM2545345",6879
"Daw1","GSM2545345",32
"Trip12","GSM2545345",7214
"Fbxo36","GSM2545345",100
"Slc16a14","GSM2545345",190
"Gm15433","GSM2545345",0
"Rpl19-ps1","GSM2545345",3
"Sp110","GSM2545345",29
"Sp140","GSM2545345",24
"Sp100","GSM2545345",173
"Cab39","GSM2545345",8114
"Gpr55","GSM2545345",3
"Spata3","GSM2545345",15
"Htr2b","GSM2545345",1
"Armc9","GSM2545345",686
"B3gnt7","GSM2545345",6
"Snora75","GSM2545345",13
"Nmur1","GSM2545345",15
"Dis3l2","GSM2545345",778
"Gm6136","GSM2545345",19
"Ecel1","GSM2545345",16
"Prss56","GSM2545345",2
"Kcnj13","GSM2545345",845
"Inpp5d","GSM2545345",175
"Scarna6","GSM2545345",0
"Sag","GSM2545345",23
"Dgkd","GSM2545345",9103
"Gm19582","GSM2545345",67
"Usp40","GSM2545345",1305
"Ugt1a7c","GSM2545345",8
"Dnajb3","GSM2545345",28
"Mroh2a","GSM2545345",10
"Spp2","GSM2545345",7
"Gm29538","GSM2545345",13
"Glrp1","GSM2545345",0
"Sh3bp4","GSM2545345",464
"Gbx2","GSM2545345",1
"Iqca","GSM2545345",26
"Ackr3","GSM2545345",310
"Col6a3","GSM2545345",68
"Rab17","GSM2545345",2
"Ube2f","GSM2545345",1378
"Klhl30","GSM2545345",6
"Twist2","GSM2545345",2
"Hdac4","GSM2545345",1744
"Ndufa10","GSM2545345",4397
"Mir149","GSM2545345",0
"Ankmy1","GSM2545345",18
"Rnpepl1","GSM2545345",1159
"Capn10","GSM2545345",1033
"Gpr35","GSM2545345",43
"Pask","GSM2545345",182
"Hdlbp","GSM2545345",7869
"Farp2","GSM2545345",309
"Stk25","GSM2545345",5093
"Thap4","GSM2545345",449
"D2hgdh","GSM2545345",418
"Pdcd1","GSM2545345",1
"Gm7895","GSM2545345",17
"Fam174a","GSM2545345",1532
"Slco4c1","GSM2545345",6
"Panct2","GSM2545345",12
"Gm6430","GSM2545345",8
"Gin1","GSM2545345",400
"Pam","GSM2545345",1661
"Cntnap5b","GSM2545345",893
"Cdh20","GSM2545345",912
"Pign","GSM2545345",819
"Gm10193","GSM2545345",1
"Tnfrsf11a","GSM2545345",67
"Gm7160","GSM2545345",14
"Gm20753","GSM2545345",6
"Bcl2","GSM2545345",711
"Vps4b","GSM2545345",2068
"Serpinb5","GSM2545345",5
"Serpinb10","GSM2545345",3
"Gm8141","GSM2545345",6
"Cdh7","GSM2545345",1865
"Cdh19","GSM2545345",735
"Gm8173","GSM2545345",1
"Dsel","GSM2545345",292
"Gm6028","GSM2545345",4
"Nifk","GSM2545345",817
"Clasp1","GSM2545345",3077
"Inhbb","GSM2545345",247
"Gm3551","GSM2545345",0
"Gm28209","GSM2545345",1
"Cfap221","GSM2545345",6
"Sctr","GSM2545345",4
"Tmem37","GSM2545345",30
"En1","GSM2545345",24
"Insig2","GSM2545345",2290
"Ccdc93","GSM2545345",1184
"Htr5b","GSM2545345",6
"Ddx18","GSM2545345",809
"Actr3","GSM2545345",6054
"Slc35f5","GSM2545345",663
"Gpr39","GSM2545345",1
"Mgat5","GSM2545345",3484
"Gm8451","GSM2545345",32
"Tmem163","GSM2545345",2099
"Acmsd","GSM2545345",2
"Zranb3","GSM2545345",164
"Gm28800","GSM2545345",1
"Rpl28-ps1","GSM2545345",26
"Mir128-1","GSM2545345",3
"Lct","GSM2545345",8
"Gm6170","GSM2545345",32
"Thsd7b","GSM2545345",37
"Gm29428","GSM2545345",2
"Cd55","GSM2545345",284
"Gm16083","GSM2545345",5
"C4bp-ps1","GSM2545345",9
"Yod1","GSM2545345",500
"Fcamr","GSM2545345",3
"Dyrk3","GSM2545345",182
"Ikbke","GSM2545345",43
"Srgap2","GSM2545345",7896
"Slc26a9","GSM2545345",0
"Pm20d1","GSM2545345",208
"Rab29","GSM2545345",195
"Cdk18","GSM2545345",490
"Gm29695","GSM2545345",102
"Lemd1","GSM2545345",9
"Gm7241","GSM2545345",1
"Klhdc8a","GSM2545345",648
"Lrrn2","GSM2545345",3436
"Gm29257","GSM2545345",7
"Gm28609","GSM2545345",2
"Plekha6","GSM2545345",4203
"Ren1","GSM2545345",6
"Sox13","GSM2545345",318
"Zbed6","GSM2545345",1380
"Lax1","GSM2545345",4
"Optc","GSM2545345",27
"Prelp","GSM2545345",1429
"Gm8618","GSM2545345",0
"Mybph","GSM2545345",20
"Myog","GSM2545345",1
"Ppfia4","GSM2545345",9198
"Tmem183a","GSM2545345",2709
"Kdm5b","GSM2545345",2109
"Ppp1r12b","GSM2545345",3055
"Ube2t","GSM2545345",84
"Ptprv","GSM2545345",1
"Timm17a","GSM2545345",1453
"Csrp1","GSM2545345",9529
"Tnni1","GSM2545345",81
"Lad1","GSM2545345",28
"Pkp1","GSM2545345",4
"Ascl5","GSM2545345",1
"Cacna1s","GSM2545345",31
"Gm15850","GSM2545345",1
"Kif21b","GSM2545345",1086
"Camsap2","GSM2545345",7551
"Kif14","GSM2545345",11
"Gm29485","GSM2545345",0
"Gm19705","GSM2545345",32
"Mif-ps1","GSM2545345",3
"Nr5a2","GSM2545345",0
"Ptprc","GSM2545345",92
"Lhx9","GSM2545345",32
"Dennd1b","GSM2545345",855
"Crb1","GSM2545345",7
"Zbtb41","GSM2545345",1647
"Cfhr2","GSM2545345",1
"Gm5837","GSM2545345",4
"Kcnt2","GSM2545345",38
"Gm5835","GSM2545345",31
"Cdc73","GSM2545345",845
"B3galt2","GSM2545345",850
"Glrx2","GSM2545345",1944
"Rgs1","GSM2545345",2
"Gm7266","GSM2545345",2
"Rgs18","GSM2545345",6
"Brinp3","GSM2545345",719
"Ptgs2os","GSM2545345",2
"Ptgs2","GSM2545345",51
"Tpr","GSM2545345",5924
"Swt1","GSM2545345",748
"Mir7682","GSM2545345",2
"Rnf2","GSM2545345",1504
"Gm36527","GSM2545345",1
"Edem3","GSM2545345",3545
"Tsen15","GSM2545345",574
"Colgalt2","GSM2545345",113
"Rgl1","GSM2545345",1156
"Arpc5","GSM2545345",2062
"Ncf2","GSM2545345",89
"Nmnat2","GSM2545345",8790
"Lamc2","GSM2545345",90
"Dhx9","GSM2545345",6655
"Rgs16","GSM2545345",720
"Rgsl1","GSM2545345",13
"Zfp648","GSM2545345",4
"Gm9530","GSM2545345",16
"Stx6","GSM2545345",1631
"Xpr1","GSM2545345",3865
"Gm5532","GSM2545345",2
"Acbd6","GSM2545345",890
"Lhx4","GSM2545345",6
"Cep350","GSM2545345",3168
"Fam163a","GSM2545345",68
"Tdrd5","GSM2545345",51
"Nphs2","GSM2545345",12
"Gm2000","GSM2545345",25
"Soat1","GSM2545345",622
"Abl2","GSM2545345",1699
"Fam20b","GSM2545345",3070
"Ralgps2","GSM2545345",1838
"Angptl1","GSM2545345",13
"Rasal2","GSM2545345",2356
"Brinp2","GSM2545345",941
"Gm4953","GSM2545345",4
"Gm31256","GSM2545345",0
"Rabgap1l","GSM2545345",6047
"Gm6177","GSM2545345",0
"Rc3h1","GSM2545345",2999
"Serpinc1","GSM2545345",0
"Snord47","GSM2545345",31
"Dars2","GSM2545345",627
"Cenpl","GSM2545345",100
"Fasl","GSM2545345",10
"Dnm3","GSM2545345",9969
"Dnm3os","GSM2545345",4
"Prrc2c","GSM2545345",6031
"Fmo2","GSM2545345",600
"Mettl11b","GSM2545345",10
"BC055324","GSM2545345",119
"Sele","GSM2545345",1
"Selp","GSM2545345",0
"F5","GSM2545345",1309
"Nme7","GSM2545345",437
"Atp1b1","GSM2545345",55710
"Gm26685","GSM2545345",1
"Dpt","GSM2545345",2
"Gm20743","GSM2545345",189
"Sft2d2","GSM2545345",1286
"Tiprl","GSM2545345",1850
"Rcsd1","GSM2545345",236
"Gm32999","GSM2545345",1
"Dusp27","GSM2545345",9
"Mael","GSM2545345",4
"Gm16418","GSM2545345",10
"Gm16701","GSM2545345",155
"Aldh9a1","GSM2545345",1465
"Mgst3","GSM2545345",1750
"Lrrc52","GSM2545345",12
"Rxrg","GSM2545345",19
"Lmx1a","GSM2545345",95
"Pbx1","GSM2545345",3768
"Asl","GSM2545346",938
"Apod","GSM2545346",27769
"Cyp2d22","GSM2545346",2985
"Klk6","GSM2545346",327
"Fcrls","GSM2545346",89
"Slc2a4","GSM2545346",654
"Exd2","GSM2545346",1531
"Gjc2","GSM2545346",240
"Plp1","GSM2545346",38019
"Gnb4","GSM2545346",960
"Tnc","GSM2545346",212
"Trf","GSM2545346",9827
"Tubb2b","GSM2545346",1852
"Fads1","GSM2545346",5551
"Lxn","GSM2545346",1353
"Prr18","GSM2545346",1249
"Cmtm5","GSM2545346",1223
"Enpp1","GSM2545346",366
"Clic4","GSM2545346",4866
"Tm6sf2","GSM2545346",27
"Slc20a2","GSM2545346",6538
"Itih3","GSM2545346",5098
"Ptn","GSM2545346",4396
"Prodh","GSM2545346",2053
"Msantd1","GSM2545346",78
"Ugt8a","GSM2545346",1292
"Fbln5","GSM2545346",1153
"Trp53inp2","GSM2545346",7188
"Slc7a3","GSM2545346",179
"Dnase1l2","GSM2545346",126
"Icosl","GSM2545346",837
"Rmnd1","GSM2545346",701
"Tssk5","GSM2545346",240
"Pycr1","GSM2545346",20
"Pla2g3","GSM2545346",370
"Vmn2r1","GSM2545346",125
"Gm29797","GSM2545346",17
"Phyhd1","GSM2545346",1644
"Gpr146","GSM2545346",1284
"Mag","GSM2545346",4600
"Tufm","GSM2545346",1235
"Igdcc4","GSM2545346",1687
"Gm10654","GSM2545346",329
"Ncmap","GSM2545346",123
"Etv4","GSM2545346",205
"Fabp7","GSM2545346",163
"Cpsf4l","GSM2545346",15
"Hexa","GSM2545346",978
"Mfge8","GSM2545346",1213
"Ccdc136","GSM2545346",4871
"Glul","GSM2545346",71706
"Hopx","GSM2545346",3220
"Pigq","GSM2545346",2799
"Vps11","GSM2545346",3494
"Proca1","GSM2545346",145
"Fbxl22","GSM2545346",39
"Sfxn5","GSM2545346",6916
"Hexim2","GSM2545346",630
"Agt","GSM2545346",5882
"Rlbp1","GSM2545346",162
"Jam2","GSM2545346",2636
"Lcat","GSM2545346",1231
"Oxct1","GSM2545346",10777
"Cacna1e","GSM2545346",4711
"Fa2h","GSM2545346",1163
"Plxnb3","GSM2545346",654
"Lman2l","GSM2545346",785
"Dpy19l1","GSM2545346",1711
"Kctd21","GSM2545346",466
"Thra","GSM2545346",13040
"Dok3","GSM2545346",50
"Sult1a1","GSM2545346",1413
"Rpe","GSM2545346",829
"Acrbp","GSM2545346",194
"Slc2a9","GSM2545346",164
"Emp2","GSM2545346",873
"Aipl1","GSM2545346",72
"Uri1","GSM2545346",2478
"Bcs1l","GSM2545346",277
"Rbm3","GSM2545346",10054
"Tra2a","GSM2545346",2926
"Prex1","GSM2545346",3074
"Josd2","GSM2545346",895
"Tmco3","GSM2545346",1119
"Srebf1","GSM2545346",2960
"Acer2","GSM2545346",716
"Tsga10","GSM2545346",204
"Cyp3a13","GSM2545346",200
"Relt","GSM2545346",826
"Nrep","GSM2545346",23619
"Slc14a1","GSM2545346",1081
"Pnpla2","GSM2545346",1793
"Map6d1","GSM2545346",1467
"Ier5","GSM2545346",930
"Bfsp2","GSM2545346",61
"Idi1","GSM2545346",387
"Kat2b","GSM2545346",7070
"Rmdn3","GSM2545346",3347
"Eif4b","GSM2545346",10655
"Grm4","GSM2545346",8164
"Pink1","GSM2545346",21641
"Mettl16","GSM2545346",659
"Fam193b","GSM2545346",1872
"Rtca","GSM2545346",1747
"Fgfbp1","GSM2545346",142
"Pigs","GSM2545346",1901
"Cfp","GSM2545346",492
"Desi1","GSM2545346",4355
"Gbp4","GSM2545346",549
"Nid1","GSM2545346",634
"Armcx5","GSM2545346",922
"Cryab","GSM2545346",1938
"Prss53","GSM2545346",77
"Car4","GSM2545346",3023
"Gm6277","GSM2545346",95
"Amt","GSM2545346",755
"Zc3h6","GSM2545346",1637
"Aqp4","GSM2545346",13806
"Tmem198b","GSM2545346",558
"Abi3bp","GSM2545346",696
"Xpa","GSM2545346",541
"Aldh6a1","GSM2545346",4908
"Adam1a","GSM2545346",331
"Dynlt1a","GSM2545346",343
"Gatm","GSM2545346",3201
"H2-Q4","GSM2545346",344
"Nras","GSM2545346",1343
"Pla2g4e","GSM2545346",814
"Lpar1","GSM2545346",1311
"Il12rb1","GSM2545346",110
"Enpp6","GSM2545346",371
"Ermn","GSM2545346",2659
"Marcksl1","GSM2545346",688
"Ubqln4","GSM2545346",2502
"Glt8d1","GSM2545346",956
"Ddx25","GSM2545346",1708
"Gpr17","GSM2545346",338
"Cat","GSM2545346",1522
"Wwox","GSM2545346",1043
"Phkg1","GSM2545346",473
"Ppp1r3f","GSM2545346",1263
"Mrpl35","GSM2545346",837
"Nudt9","GSM2545346",1611
"Lypd6","GSM2545346",1399
"Spice1","GSM2545346",436
"Tuba8","GSM2545346",867
"Spon1","GSM2545346",4723
"Nfya","GSM2545346",697
"Sc5d","GSM2545346",3012
"Aldh18a1","GSM2545346",605
"Ebp","GSM2545346",700
"Srr","GSM2545346",1805
"Gm14827","GSM2545346",178
"Gm31135","GSM2545346",21
"Adam17","GSM2545346",820
"Slc39a2","GSM2545346",398
"Snn","GSM2545346",5782
"Hnrnpc","GSM2545346",7466
"Srbd1","GSM2545346",318
"Ptp4a1","GSM2545346",1133
"Tppp","GSM2545346",7385
"Stac3","GSM2545346",73
"Emid1","GSM2545346",220
"Cotl1","GSM2545346",3827
"Ovgp1","GSM2545346",1022
"Ssx2ip","GSM2545346",3626
"Hsd3b7","GSM2545346",465
"Kazald1","GSM2545346",326
"Omd","GSM2545346",283
"Bcas1","GSM2545346",4651
"Gm9925","GSM2545346",493
"Dleu2","GSM2545346",214
"Chil3","GSM2545346",130
"Deaf1","GSM2545346",2755
"Dusp19","GSM2545346",213
"Gkn3","GSM2545346",12
"Pllp","GSM2545346",977
"Sox2ot","GSM2545346",467
"Ntf3","GSM2545346",91
"Lum","GSM2545346",113
"Gm20751","GSM2545346",197
"Thnsl2","GSM2545346",232
"Slc2a4rg-ps","GSM2545346",217
"Agpat5","GSM2545346",2972
"Mdk","GSM2545346",521
"Penk","GSM2545346",3373
"Cirbp","GSM2545346",5614
"Aloxe3","GSM2545346",541
"Nudt5","GSM2545346",354
"Serpinb1a","GSM2545346",282
"Mt1","GSM2545346",12615
"Fgfr3","GSM2545346",4978
"Myo1d","GSM2545346",459
"Cd99l2","GSM2545346",2822
"C2cd2","GSM2545346",659
"Brsk2","GSM2545346",6983
"Mrrf","GSM2545346",366
"Snhg4","GSM2545346",342
"Hmgcs1","GSM2545346",4399
"Stk17b","GSM2545346",3342
"Cyp51","GSM2545346",1619
"Gria4","GSM2545346",18404
"Ttyh1","GSM2545346",28039
"Slc13a1","GSM2545346",56
"Phf7","GSM2545346",257
"Get4","GSM2545346",1463
"Gstm1","GSM2545346",9851
"Fbxo31","GSM2545346",3124
"Padi2","GSM2545346",675
"Gnmt","GSM2545346",291
"Paip2b","GSM2545346",4354
"Slc17a9","GSM2545346",66
"Vopp1","GSM2545346",1241
"Ogdhl","GSM2545346",4255
"Dcaf12","GSM2545346",2038
"Rorc","GSM2545346",1614
"Cp","GSM2545346",2017
"Jade2","GSM2545346",2458
"Nbl1","GSM2545346",4575
"Hsph1","GSM2545346",3046
"Serf2","GSM2545346",2847
"Rasgef1a","GSM2545346",4599
"Prrg1","GSM2545346",381
"Etnppl","GSM2545346",7288
"Cyp4f15","GSM2545346",256
"Ankrd29","GSM2545346",836
"Gm27252","GSM2545346",135
"Kctd2","GSM2545346",3647
"Iigp1","GSM2545346",228
"Ak4","GSM2545346",3306
"Idh2","GSM2545346",1814
"Camkk1","GSM2545346",2986
"Rftn2","GSM2545346",998
"Igtp","GSM2545346",272
"Bche","GSM2545346",273
"Marcks","GSM2545346",4861
"Pabpc4","GSM2545346",615
"Pmp22","GSM2545346",1273
"Car14","GSM2545346",1340
"Serpinh1","GSM2545346",603
"Ppp1r13b","GSM2545346",3361
"Tfrc","GSM2545346",8993
"Smox","GSM2545346",2786
"Tjap1","GSM2545346",537
"Msmo1","GSM2545346",1410
"Slc26a8","GSM2545346",179
"Eml3","GSM2545346",1445
"Csf2ra","GSM2545346",252
"Rnf141","GSM2545346",2793
"Slc25a16","GSM2545346",1814
"Echdc1","GSM2545346",1059
"Eid2b","GSM2545346",941
"Piga","GSM2545346",378
"Ccdc149","GSM2545346",1132
"Car15","GSM2545346",419
"Eny2","GSM2545346",3504
"Mroh1","GSM2545346",4271
"Pcyox1l","GSM2545346",470
"Ankrd39","GSM2545346",599
"Timeless","GSM2545346",446
"Sparc","GSM2545346",49325
"Slc7a10","GSM2545346",1252
"Ppp1r2","GSM2545346",5333
"Psmf1","GSM2545346",1298
"Adat1","GSM2545346",174
"Slc6a12","GSM2545346",289
"Snhg3","GSM2545346",330
"Prg4","GSM2545346",868
"Plod1","GSM2545346",693
"Whamm","GSM2545346",1168
"Ttpa","GSM2545346",383
"Thbs3","GSM2545346",299
"Gltp","GSM2545346",1236
"Pex6","GSM2545346",1281
"Aim2","GSM2545346",245
"Ednrb","GSM2545346",4474
"Nuf2","GSM2545346",75
"Mog","GSM2545346",2029
"Ccl27a","GSM2545346",1420
"Tac4","GSM2545346",42
"Snhg8","GSM2545346",416
"Ak6","GSM2545346",240
"Kctd20","GSM2545346",2376
"Itgb4","GSM2545346",449
"Zfp810","GSM2545346",859
"Gm33489","GSM2545346",83
"Gna12","GSM2545346",1362
"Cyp4v3","GSM2545346",803
"Pkp4","GSM2545346",9011
"Agpat1","GSM2545346",1695
"Gipr","GSM2545346",77
"Edn3","GSM2545346",197
"Prr15","GSM2545346",95
"Traf1","GSM2545346",113
"Pim2","GSM2545346",980
"Lrrc8a","GSM2545346",3852
"Erp44","GSM2545346",1461
"Tmem33","GSM2545346",4753
"Fen1","GSM2545346",814
"Tfap4","GSM2545346",405
"Lman2","GSM2545346",2498
"Senp8","GSM2545346",170
"Alg14","GSM2545346",557
"Ddah1","GSM2545346",3491
"Pomt1","GSM2545346",443
"Rab3b","GSM2545346",573
"Lrrc29","GSM2545346",116
"Nqo1","GSM2545346",596
"Gpr137b","GSM2545346",387
"Pcif1","GSM2545346",2805
"Qdpr","GSM2545346",4093
"Dcdc2b","GSM2545346",160
"Rap2a","GSM2545346",1779
"Cnpy4","GSM2545346",366
"Wdr41","GSM2545346",1247
"Gm20627","GSM2545346",12
"Mmaa","GSM2545346",1165
"Gm13562","GSM2545346",9
"Cd70","GSM2545346",10
"Itm2a","GSM2545346",1757
"Avil","GSM2545346",18
"Zscan22","GSM2545346",356
"Itgb3","GSM2545346",50
"Col11a2","GSM2545346",358
"Apoc1","GSM2545346",112
"Tmeff2","GSM2545346",1738
"Tyro3","GSM2545346",4906
"Ift22","GSM2545346",832
"Mtmr7","GSM2545346",3077
"Gabrr2","GSM2545346",116
"Ube2v2","GSM2545346",1564
"C77080","GSM2545346",1506
"Elovl5","GSM2545346",3433
"Serinc5","GSM2545346",2182
"Pyroxd2","GSM2545346",91
"Ypel2","GSM2545346",1418
"Parp3","GSM2545346",416
"Xpo1","GSM2545346",4108
"Polr2a","GSM2545346",5720
"Tspyl4","GSM2545346",21503
"Irgm1","GSM2545346",491
"Cep131","GSM2545346",1032
"Sema4d","GSM2545346",3068
"Gbp6","GSM2545346",311
"Zfp119b","GSM2545346",297
"Eps15","GSM2545346",10984
"Pxmp2","GSM2545346",281
"Tomm40l","GSM2545346",1460
"Atat1","GSM2545346",779
"Chrac1","GSM2545346",496
"Mrpl24","GSM2545346",1199
"Ipo9","GSM2545346",8962
"Actg1","GSM2545346",6129
"Noxred1","GSM2545346",23
"Gm20501","GSM2545346",185
"H2-K1","GSM2545346",1477
"Lig1","GSM2545346",661
"Morn2","GSM2545346",162
"Dcakd","GSM2545346",785
"Nop14","GSM2545346",1157
"Bbs1","GSM2545346",1085
"Tada2b","GSM2545346",1564
"Gal3st1","GSM2545346",197
"Xpc","GSM2545346",939
"Irf2bp2","GSM2545346",2131
"Spns2","GSM2545346",2098
"Pole","GSM2545346",164
"Fam78b","GSM2545346",1316
"Ggcx","GSM2545346",635
"Anks1","GSM2545346",1777
"Pgm2","GSM2545346",4153
"Zgrf1","GSM2545346",602
"Alkbh3","GSM2545346",598
"Dnd1","GSM2545346",23
"Lime1","GSM2545346",1448
"Trim23","GSM2545346",4790
"Abhd14a","GSM2545346",424
"Zkscan3","GSM2545346",1597
"Fam131b","GSM2545346",10520
"Elovl1","GSM2545346",531
"Trim72","GSM2545346",75
"Klhdc9","GSM2545346",188
"Iqck","GSM2545346",114
"Smim14","GSM2545346",6281
"Kcnab3","GSM2545346",2100
"Ing5","GSM2545346",654
"Cnnm3","GSM2545346",2650
"Fn3k","GSM2545346",848
"Cnp","GSM2545346",12859
"Uros","GSM2545346",547
"Eml1","GSM2545346",1948
"Lgals3","GSM2545346",127
"Gjb1","GSM2545346",519
"Dynll1","GSM2545346",1675
"Cyp2j12","GSM2545346",97
"Crip3","GSM2545346",22
"Sbk1","GSM2545346",17527
"Camkk2","GSM2545346",8869
"Setd7","GSM2545346",11337
"Btf3l4","GSM2545346",2413
"Acbd4","GSM2545346",1489
"Gm16835","GSM2545346",234
"Gpr37","GSM2545346",1556
"Prr5l","GSM2545346",456
"Slain1","GSM2545346",1668
"Calr","GSM2545346",7257
"Bst1","GSM2545346",23
"Fmnl3","GSM2545346",445
"Gpr89","GSM2545346",469
"Zranb1","GSM2545346",8232
"Col27a1","GSM2545346",488
"Emc8","GSM2545346",3557
"Ormdl3","GSM2545346",3203
"Capg","GSM2545346",140
"Zbtb21","GSM2545346",713
"Sord","GSM2545346",998
"Tsc22d1","GSM2545346",8539
"Gpld1","GSM2545346",2964
"Cdh4","GSM2545346",530
"Hkdc1","GSM2545346",118
"Ggact","GSM2545346",1608
"Zfp493","GSM2545346",89
"Mkks","GSM2545346",979
"Gm15423","GSM2545346",128
"Npas2","GSM2545346",239
"Plin4","GSM2545346",1537
"Rragc","GSM2545346",2952
"Nsun3","GSM2545346",730
"Hgsnat","GSM2545346",3139
"Acr","GSM2545346",128
"Ccdc167","GSM2545346",941
"Thap1","GSM2545346",289
"Egfl8","GSM2545346",57
"Vps33a","GSM2545346",4663
"Igbp1","GSM2545346",1517
"Tbx6","GSM2545346",43
"Dcst2","GSM2545346",36
"Rbm28","GSM2545346",1504
"Pms1","GSM2545346",550
"Rtcb","GSM2545346",4347
"Smad9","GSM2545346",1903
"Ubxn2b","GSM2545346",552
"Rnf170","GSM2545346",1839
"Pithd1","GSM2545346",2635
"Steap3","GSM2545346",57
"Tomm20","GSM2545346",10700
"Klf15","GSM2545346",2154
"Amz2","GSM2545346",1379
"Folh1","GSM2545346",975
"Ubfd1","GSM2545346",2150
"Gpx3","GSM2545346",1004
"C4b","GSM2545346",919
"Mdfi","GSM2545346",254
"Nucb2","GSM2545346",326
"Clip4","GSM2545346",1593
"Tipin","GSM2545346",837
"Amy1","GSM2545346",1098
"Efhd1","GSM2545346",1297
"Smim15","GSM2545346",1603
"Zfp658","GSM2545346",614
"E2f6","GSM2545346",1541
"Lix1","GSM2545346",287
"Coq4","GSM2545346",210
"Otoa","GSM2545346",89
"Mex3a","GSM2545346",106
"Tmem132c","GSM2545346",1295
"Dclk1","GSM2545346",12124
"Eml2","GSM2545346",4180
"Glyr1","GSM2545346",8117
"Gm1976","GSM2545346",511
"Smyd3","GSM2545346",1555
"Dcaf8","GSM2545346",7903
"Lias","GSM2545346",1196
"Msn","GSM2545346",2160
"Timmdc1","GSM2545346",451
"H2-Q6","GSM2545346",91
"Asic3","GSM2545346",80
"Col5a3","GSM2545346",430
"Stx3","GSM2545346",3393
"AW046200","GSM2545346",70
"Hsf1","GSM2545346",974
"Colq","GSM2545346",81
"Rcor3","GSM2545346",1463
"Slc6a20a","GSM2545346",1230
"Prps1","GSM2545346",2386
"Keap1","GSM2545346",2194
"Tap2","GSM2545346",444
"Slc16a7","GSM2545346",977
"Eif2b3","GSM2545346",627
"Flywch1","GSM2545346",12436
"Amigo2","GSM2545346",966
"Hspd1","GSM2545346",5669
"Sost","GSM2545346",12
"Gm8615","GSM2545346",5
"Kcnk13","GSM2545346",101
"Tspyl2","GSM2545346",5168
"Spsb3","GSM2545346",2883
"Gm8493","GSM2545346",8
"Fgf22","GSM2545346",126
"Slc6a6","GSM2545346",5689
"Xist","GSM2545346",16
"Ddx3y","GSM2545346",4742
"Eif2s3y","GSM2545346",3489
"Kdm5d","GSM2545346",1330
"Uty","GSM2545346",1374
"Eif2s3x","GSM2545346",1715
"Kdm6a","GSM2545346",2189
"Casp12","GSM2545346",255
"Ddx3x","GSM2545346",20544
"Prl2c3","GSM2545346",36
"Casp1","GSM2545346",62
"Pbdc1","GSM2545346",337
"Kdm5c","GSM2545346",2938
"Ctxn2","GSM2545346",85
"Ldoc1","GSM2545346",382
